name,displaylogic,displaylogic_server,displaylogicgrid,readonlylogic,columnname
To Currency,,,,@HASREVERSEDINVOICESO@='Y' | @HASREVERSEDINVOICEPO@='Y' | @Posted@='Y',C_Currency_Id_To
Invoice,,,,@HASREVERSEDINVOICESO@='Y' | @HASREVERSEDINVOICEPO@='Y' | @Posted@='Y',C_Invoice_ID
C_Conversion_Rate_Document_ID,,,,@Posted@='Y',C_Conversion_Rate_Document_ID
Currency,,,,@HASREVERSEDINVOICESO@='Y' | @HASREVERSEDINVOICEPO@='Y' | @Posted@='Y',C_Currency_ID
Active,,,,@HASREVERSEDINVOICESO@='Y' | @HASREVERSEDINVOICEPO@='Y' | @Posted@='Y',Isactive
Client,,,,@HASREVERSEDINVOICESO@='Y' | @HASREVERSEDINVOICEPO@='Y' | @Posted@='Y',AD_Client_ID
Financial Account Transaction,,,,@HASREVERSEDINVOICESO@='Y' | @HASREVERSEDINVOICEPO@='Y' | @Posted@='Y',aprm_finacc_transaction_v_id
Organization,,,,@HASREVERSEDINVOICESO@='Y' | @HASREVERSEDINVOICEPO@='Y' | @Posted@='Y',AD_Org_ID
Foreign  Amount,,,,@HASREVERSEDINVOICESO@='Y' | @HASREVERSEDINVOICEPO@='Y' | @Posted@='Y',Foreign_Amount
Rate,,,,@HASREVERSEDINVOICESO@='Y' | @HASREVERSEDINVOICEPO@='Y' | @Posted@='Y',Rate
Payment,,,,@HASREVERSEDINVOICESO@='Y' | @HASREVERSEDINVOICEPO@='Y' | @Posted@='Y',FIN_Payment_ID
Modify Payment Plan,@DocStatus@='CO'&@IsPaid@='N',,,,EM_Aprm_Modif_Paym_Sched
Modify Payment Plan,@DocStatus@='CO'&@IsPaid@='N',,,,EM_Aprm_Modif_Paym_Sched
Payment Method,,,,@Processed@='Y' & @status@!'RPAE',Fin_Paymentmethod_ID
Payment Date,,,,@Processed@='Y' & @status@!'RPAE',Paymentdate
Invoice Paid,@InvoicePaidStatus@='Y',,,,Isinvoicepaid
Financial Account,,,,@Processed@='Y' & @status@!'RPAE',Fin_Financial_Account_ID
Document No.,,,,@Processed@='Y',DocumentNo
Expected (Account Currency),@C_Currency_ID@!@FinAcc_Currency_ID@,,,,ExpectedConverted
Received (Account Currency),@C_Currency_ID@!@FinAcc_Currency_ID@,,,,PaidConverted
Exchange Rate,@C_Currency_ID@!@FinAcc_Currency_ID@,,,,Finacc_Txn_Convert_Rate
Payment No.,false,,,,Paymentno
