name,displaylogic,displaylogic_server,displaylogicgrid,readonlylogic,columnname
Incoterms,,,,@INTR_INVOICE@='Y',C_Incoterms_ID
SII exercise,@AEATSII_AcogidaSII2@='Y',,,true,EM_Aeatsii_Ejercicio
Operation date,@AEATSII_AcogidaSII2@='Y',,,(@em_aeatsii_estado@='CO' | @em_aeatsii_estado@='AE' | (@DocStatus@='VO' & @em_aeatsii_issent@='Y')) & @Processed@='Y',EM_Aeatsii_Fecha_Operacion
Cash VAT,,,,@Processed@='Y',Iscashvat
SII Description,@AEATSII_AcogidaSII2@='Y',,,(@em_aeatsii_estado@='CO' | @em_aeatsii_estado@='AE' | (@DocStatus@='VO' & @em_aeatsii_issent@='Y')) & @Processed@='Y',EM_Aeatsii_Descripcion_Sii
Fecha operación,@AEATSII_AcogidaSII2@='Y' | @TBAI_ExistConfigAndIsAvailable@,,,@processed@='Y',EM_Etsg_Date_Operation
Net Mass (Kg),,,,@INTR_INVOICE@='Y',Netmass_Kg
Register Error Modified,@AEATSII_AcogidaSII2@='Y' & @em_aeatsii_issent@='Y' & (@em_aeatsii_estado@='CO' | @em_aeatsii_estado@='AE' | @DocStatus@!'VO'),,,(@em_aeatsii_estado@!'CO' & @em_aeatsii_estado@!'AE') | @em_aeatsii_modified@='Y' | @DocStatus@='VO',EM_Aeatsii_Error_Registral
Commodity Code,,,,@INTR_INVOICE@='Y',NC8_Code
DUA date,@AEATSII_Multidua@='Y',,,,EM_Aeatsii_Fecha_Dua
SII Registration Status,@AEATSII_AcogidaSII2@='Y',,,true,EM_Aeatsii_Estado
Autoinvoice,@AEATSII_AcogidaSII2@='Y',,,(@em_aeatsii_estado@='CO' | @em_aeatsii_estado@='AE' | @DocStatus@='VO') & @Processed@='Y',EM_Aeatsii_Autofactura
Base Imponible del 349 Servicios,@EM_Aeat349_Iscorrective@='Y',,,@Processed@='Y' & @DocStatus@!'VO',EM_AEAT349_BP_BaseAmount_S
Accounting register date,@AEATSII_AcogidaSII2@='Y',,,@AEATSII_InSIIAndPostedInvoices@='Y',EM_Aeatsii_Fecha_Reg_Cont
Country of Origin,,,,@INTR_INVOICE@='Y',Orig_C_Country_ID
Has Suplementary Unit,,,,@INTR_INVOICE@='Y',Hasunit
SII period,@AEATSII_AcogidaSII2@='Y',,,true,EM_Aeatsii_Periodo
Registrar Factura en Batuz,@EM_Tbai_Issent@='N' & (@docstatus@='CO') & @TBAI_ExistConfigAndIsAvailable@,,,,EM_Tbai_Xmlgenerator
SII purchase description master,@AEATSII_AcogidaSII2@='Y',,,(@em_aeatsii_estado@='CO' | @em_aeatsii_estado@='AE' | (@DocStatus@='VO' & @em_aeatsii_issent@='N')) & @Processed@='Y',EM_Aeatsii_Pur_Description_ID
Invoice type key,@AEATSII_AcogidaSII2@='Y',,,(@em_aeatsii_estado@='CO' | @em_aeatsii_estado@='AE' | @DocStatus@='VO') & @Processed@='Y',EM_Aeatsii_Clave_Tipo_Fc
Transportation Type,,,,@INTR_INVOICE@='Y',Transportation_Type
Correctiva del 349,,,,@Processed@='Y' & @DocStatus@!'VO',EM_AEAT349_IsCorrective
