ad_window_id,window_name,ad_tab_id,tab_name,tablevel,tab_seq,whereclause,orderbyclause,filterclause,hqlwhereclause,hqlorderbyclause,hqlfilterclause,tablename,ad_field_id,field_name,isdisplayed,isreadonly,displaylogic,displaylogic_server,displaylogicgrid,field_seq,columnname,ad_reference_id,ismandatory,isupdateable,defaultvalue,fieldlength,valuemin,valuemax,ad_val_rule_id,readonlylogic,reference_name,callout_class
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,1098,Sales Representative,Y,N,,,,322,SalesRep_ID,18,N,Y,,22,,,6F75AF1B05464DD894033D50AEC67310,,Table,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,1086,Description,Y,N,,,,326,Description,14,N,Y,,255,,,,,Text,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,1101,Invoice Address,Y,N,,,,330,BillTo_ID,18,Y,Y,,22,,,119,@Processed@='Y' | @DocStatus@='TMP',Table,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,802711,Delivery Location,Y,N,,,,334,Delivery_Location_ID,18,N,Y,,22,,,167,,Table,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,04CFE3A53162449380A253DE0B814AEF,Add Payment,Y,N,@Processed@='Y' & (@showAddPayment@='Y' | @showAddPayment@ ='') & (@APRM_OrderIsPaid@='N' | @APRM_OrderIsPaid@ ='') & @GrandTotal@!0,,,335,EM_APRM_AddPayment,28,N,Y,,1,,,,,Button,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,1083,Process Order,Y,N,@DocStatus@!'CL'&@DocStatus@!'VO',,,336,DocAction,28,Y,Y,CO,60,,,,,Button,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,6560,Copy Lines,Y,N,@processed@='N',,,338,CopyFrom,28,N,Y,,1,,,,,Button,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,804079,Copy from Orders,Y,N,@processed@='N',,,342,CopyFromPO,28,N,Y,,1,,,,,Button,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,1108,Delivery Method,N,N,@OrderType@='SO' | @OrderType@='WP' | @OrderType@='PR' | @OrderType@='WR' | @OrderType@='WI',,,350,DeliveryViaRule,17,Y,Y,P,60,,,,@Processed@='Y',List,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,1109,Shipping Company,N,N,@DeliveryViaRule@='S' & (@OrderType@='SO' | @OrderType@='WP' | @OrderType@='PR' | @OrderType@='WR' | @OrderType@='WI'),,,354,M_Shipper_ID,19,N,Y,,22,,,,,TableDir,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,2877,Delivery Terms,N,N,@OrderType@='SO' | @OrderType@='WP',,,360,DeliveryRule,17,Y,Y,A,60,,,,@Processed@='Y',List,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,2878,Freight Cost Rule,N,N,@OrderType@='SO',,,366,FreightCostRule,17,Y,Y,I,60,,,,,List,
143,Sales Order,186,Header,0,10,C_Order.IsSOTrx='Y',,,e.salesTransaction=true AND e.transactionDocument.return= false AND e.transactionDocument.sOSubType NOT LIKE 'OB',,,C_Order,1107,Freight Amount,N,N,@OrderType@='SO' & @FreightCostRule@='F',,,372,FreightAmt,12,Y,Y,,22,,,,,Amount,
