ad_window_id,window_name,ad_tab_id,tab_name,tablevel,tab_seq,whereclause,orderbyclause,filterclause,hqlwhereclause,hqlorderbyclause,hqlfilterclause,tablename,entity_classname,entity_alias,entity_javapackage,ad_field_id,field_name,field_isactive,isdisplayed,isreadonly,isshowninstatusbar,displaylogic,displaylogic_server,displaylogicgrid,field_seq,columnname,ad_reference_id,ismandatory,isupdateable,defaultvalue,fieldlength,valuemin,valuemax,ad_val_rule_id,readonlylogic,reference_name,callout_class
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3440,Invoice From,Y,Y,N,N,,,,384,BillTo_ID,18,Y,Y,,22,,,119,@Processed@='Y' | @DocStatus@='TMP',Table,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,800150,Incoterms,Y,N,N,N,,,,400,C_Incoterms_ID,19,N,Y,,12,,,,,TableDir,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,800151,INCOTERMS description,Y,N,N,N,,,,401,Incotermsdescription,14,N,Y,,255,,,,,Text,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3467,Print Discount,Y,N,N,N,,,,402,IsDiscountPrinted,20,Y,Y,,1,,,,,YesNo,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3427,Document Type,Y,N,Y,N,,,,403,C_DocType_ID,19,Y,N,0,22,,,,,TableDir,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3443,Freight Amount,Y,N,N,N,,,,404,FreightAmt,12,Y,Y,,22,,,,,Amount,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3444,Delivery Method,Y,N,N,N,,,,405,DeliveryViaRule,17,Y,Y,P,60,,,,@Processed@='Y',List,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3446,Sales Campaign,Y,N,N,N,@$Element_MC@='Y',,,406,C_Campaign_ID,19,N,Y,,22,,,,@Posted@='Y',TableDir,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3447,Shipping Company,Y,N,N,N,,,,407,M_Shipper_ID,19,N,Y,,22,,,,,TableDir,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3448,Priority,Y,N,N,N,,,,408,PriorityRule,17,Y,Y,5,60,,,,@Processed@='Y',List,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3454,Charge Amount,Y,N,N,N,,,,409,ChargeAmt,12,N,Y,0,22,,,,@Processed@='Y',Amount,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3456,Charge,Y,N,N,N,,,,410,C_Charge_ID,18,N,Y,,22,,,,@Processed@='Y',Table,org.openbravo.erpCommon.ad_callouts.SL_Charge
